HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0.0,1,0,1,0,0,0.0,0,0,2011-08-28 01:00:00,8,2,1.0,3.0,1.0,1.0,25.0,19.0,15.0,13.0,3.0,5.0,9.0,7.0,2.0,3.0,0.0,1.0,5.0,1,10,0.2954545454545454,0.3409090909090909,0.6363636363636364,0,0,3,0,6,0
0,0,0,0.0,0,1,0,0,0,1.0,0,0,2011-08-28 01:00:00,1,5,-1.0,0.0,2.0,-1.0,15.0,22.0,10.0,12.0,10.0,5.0,11.0,9.0,2.0,4.0,0.0,0.0,6.0,1,6,0.3243243243243243,0.2702702702702703,0.5945945945945946,0,0,3,3,6,0
0,0,0,0.0,1,0,0,1,0,0.0,0,0,2011-09-18 01:00:00,3,1,1.0,3.0,0.0,1.0,12.0,20.0,7.0,9.0,4.0,10.0,11.0,12.0,2.0,3.0,0.0,0.0,5.0,1,4,0.28125,0.21875,0.5,0,0,3,3,9,0
0,0,0,0.0,0,1,0,0,1,0.0,0,0,2011-09-18 01:00:00,4,0,1.0,1.0,0.0,1.0,24.0,5.0,16.0,2.0,4.0,1.0,10.0,9.0,1.0,4.0,0.0,2.0,5.0,1,4,0.0689655172413793,0.5517241379310345,0.6206896551724138,0,0,3,3,9,3
0,0,0,0.0,0,1,1,0,0,0.0,0,0,2011-10-02 01:00:00,2,1,1.0,1.0,0.0,1.0,16.0,13.0,8.0,7.0,9.0,7.0,11.0,8.0,2.0,1.0,0.0,0.0,3.0,0,3,0.2413793103448276,0.2758620689655172,0.5172413793103449,0,0,3,3,9,6
0,0,1,0.0,0,0,0,0,0,0.0,1,0,2011-10-15 01:00:00,1,1,0.0,0.0,0.0,0.0,14.0,10.0,8.0,3.0,8.0,3.0,8.0,11.0,1.0,3.0,0.0,0.0,4.0,1,2,0.125,0.3333333333333333,0.4583333333333333,0,0,4,3,10,6
0,0,0,0.0,1,0,0,0,0,1.0,0,0,2011-10-23 01:00:00,1,6,-1.0,0.0,1.0,-1.0,12.0,19.0,8.0,12.0,7.0,4.0,15.0,11.0,4.0,4.0,1.0,0.0,8.0,1,7,0.3870967741935484,0.2580645161290322,0.6451612903225806,0,0,4,6,10,6
0,1,0,0.0,0,0,1,0,0,0.0,0,0,2011-10-29 01:00:00,3,5,-1.0,2.0,1.0,1.0,12.0,13.0,10.0,8.0,3.0,2.0,7.0,18.0,2.0,3.0,0.0,0.0,5.0,1,8,0.32,0.4,0.72,3,0,4,6,10,6
0,1,0,0.0,0,0,0,0,1,0.0,0,0,2011-11-20 00:00:00,1,2,-1.0,0.0,1.0,-1.0,18.0,9.0,5.0,3.0,6.0,5.0,13.0,11.0,3.0,2.0,0.0,0.0,5.0,1,3,0.1111111111111111,0.1851851851851851,0.2962962962962963,3,0,7,6,10,6
0,0,1,0.0,0,0,0,0,0,1.0,0,0,2011-11-27 00:00:00,1,1,0.0,1.0,1.0,0.0,17.0,7.0,9.0,3.0,8.0,5.0,11.0,13.0,1.0,4.0,0.0,1.0,5.0,1,2,0.125,0.375,0.5,3,0,8,7,10,6
